filename,score,sentiment_label
all_recordings\01.wav,0.5750018954277039,neutral
all_recordings\02.wav,0.962012529373169,neutral
all_recordings\03.wav,0.8779819011688232,neutral
all_recordings\04.wav,0.9360077381134033,neutral
all_recordings\05.wav,0.8855104446411133,negative
all_recordings\06.wav,0.8514530062675476,neutral
all_recordings\07.wav,0.9335048198699951,neutral
all_recordings\08.wav,0.6564741134643555,negative
all_recordings\09.wav,0.5352333784103394,neutral
all_recordings\10.wav,0.8597155213356018,negative
all_recordings\11.wav,0.7907448410987854,negative
all_recordings\12.wav,0.9265660047531128,neutral
all_recordings\13.wav,0.7151161432266235,negative
all_recordings\14.wav,0.8598952889442444,neutral
all_recordings\15.wav,0.8958861827850342,negative
all_recordings\16.wav,0.9274255037307739,neutral
all_recordings\17.wav,0.9317352175712585,neutral
all_recordings\18.wav,0.9375824928283691,neutral
all_recordings\19.wav,0.9399237632751465,neutral
all_recordings\20.wav,0.5583546757698059,neutral
all_recordings\21.wav,0.8782368898391724,negative
all_recordings\22.wav,0.9175360202789307,neutral
all_recordings\23.wav,0.7940232753753662,neutral
all_recordings\24.wav,0.5516120195388794,negative
all_recordings\25.wav,0.7509427070617676,negative
all_recordings\account_converted_Audio Trimmer1.wav,0.6513075232505798,negative
all_recordings\account_converted_Audio Trimmer2.wav,0.7665542364120483,neutral
all_recordings\account_converted_Audio Trimmer3.wav,0.6651026010513306,negative
all_recordings\account_converted_Audio Trimmer4.wav,0.8524911999702454,neutral
all_recordings\account_converted_Audio Trimmer5.wav,0.8901910185813904,neutral
all_recordings\angry1.wav,0.5360435247421265,positive
all_recordings\angry10.wav,0.5956348776817322,positive
all_recordings\angry11.wav,0.743607223033905,negative
all_recordings\angry12.wav,0.9408769607543945,negative
all_recordings\angry13.wav,0.7448301911354065,neutral
all_recordings\angry14.wav,0.7056024670600891,negative
all_recordings\angry15.wav,0.49798622727394104,neutral
all_recordings\angry16.wav,0.5018318891525269,neutral
all_recordings\angry17.wav,0.5629379153251648,neutral
all_recordings\angry18.wav,0.4832725524902344,positive
all_recordings\angry19.wav,0.5425253510475159,neutral
all_recordings\angry2.wav,0.6022456884384155,positive
all_recordings\angry20.wav,0.9377071261405945,negative
all_recordings\angry21.wav,0.9051256775856018,negative
all_recordings\angry22.wav,0.898281991481781,negative
all_recordings\angry23.wav,0.8931295871734619,negative
all_recordings\angry24.wav,0.7638848423957825,negative
all_recordings\angry25.wav,0.8222405910491943,negative
all_recordings\angry26.wav,0.6519027352333069,negative
all_recordings\angry27.wav,0.9542455077171326,negative
all_recordings\angry28.wav,0.9432226419448853,negative
all_recordings\angry29.wav,0.8451700806617737,negative
all_recordings\angry3.wav,0.806301474571228,neutral
all_recordings\angry30.wav,0.926434338092804,negative
all_recordings\angry31.wav,0.9327452182769775,negative
all_recordings\angry32.wav,0.9006568193435669,negative
all_recordings\angry33.wav,0.9380872845649719,negative
all_recordings\angry34.wav,0.9257099628448486,negative
all_recordings\angry35.wav,0.9000132083892822,negative
all_recordings\angry36.wav,0.8465441465377808,negative
all_recordings\angry37.wav,0.5031924247741699,neutral
all_recordings\angry38.wav,0.7957519888877869,negative
all_recordings\angry39.wav,0.9261806607246399,negative
all_recordings\angry4.wav,0.740408182144165,positive
all_recordings\angry40.wav,0.9324969053268433,negative
all_recordings\angry41.wav,0.5922690629959106,negative
all_recordings\angry42.wav,0.8902459740638733,negative
all_recordings\angry43.wav,0.659446120262146,neutral
all_recordings\angry44.wav,0.8444933891296387,negative
all_recordings\angry45.wav,0.8154276013374329,negative
all_recordings\angry46.wav,0.8136096000671387,negative
all_recordings\angry47.wav,0.8750689625740051,negative
all_recordings\angry48.wav,0.5817051529884338,negative
all_recordings\angry49.wav,0.950767457485199,negative
all_recordings\angry5.wav,0.8656322360038757,negative
all_recordings\angry50.wav,0.6389816999435425,negative
all_recordings\angry51.wav,0.8701604604721069,negative
all_recordings\angry52.wav,0.9246832132339478,negative
all_recordings\angry53.wav,0.9110792279243469,neutral
all_recordings\angry54.wav,0.5928123593330383,neutral
all_recordings\angry55.wav,0.5668632388114929,negative
all_recordings\angry56.wav,0.9220663905143738,negative
all_recordings\angry57.wav,0.5483604073524475,negative
all_recordings\angry6.wav,0.7535586357116699,negative
all_recordings\angry7.wav,0.9065160751342773,negative
all_recordings\angry8.wav,0.9269112348556519,negative
all_recordings\angry9.wav,0.9138465523719788,negative
all_recordings\billingpayments_converted_Audio Trimmer1.mp3,0.6241008043289185,neutral
all_recordings\billingpayments_converted_Audio Trimmer2.mp3,0.6315829753875732,negative
all_recordings\billingpayments_converted_Audio Trimmer3.mp3,0.863047182559967,negative
all_recordings\billingpayments_converted_Audio Trimmer4.mp3,0.692551851272583,neutral
all_recordings\billingpayments_converted_Audio Trimmer5.mp3,0.840328574180603,neutral
all_recordings\complaints_converted_Audio Trimmer1.mp3,0.9235411882400513,negative
all_recordings\complaints_converted_Audio Trimmer2.mp3,0.9258579015731812,negative
all_recordings\complaints_converted_Audio Trimmer3.mp3,0.8845948576927185,negative
all_recordings\complaints_converted_Audio Trimmer4.mp3,0.9064719080924988,negative
all_recordings\complaints_converted_Audio Trimmer5.mp3,0.8017807006835938,neutral
all_recordings\complaints_converted_Audio Trimmer6.mp3,0.8734978437423706,negative
all_recordings\complaints_converted_Audio Trimmer7.mp3,0.9515472054481506,negative
all_recordings\sales_converted_Audio Trimmer1.mp3,0.5423350930213928,neutral
all_recordings\sales_converted_Audio Trimmer2.mp3,0.6208059191703796,positive
all_recordings\sales_converted_Audio Trimmer3.mp3,0.8377203345298767,neutral
all_recordings\sales_converted_Audio Trimmer4.mp3,0.9080823063850403,neutral
all_recordings\sales_converted_Audio Trimmer5.mp3,0.8786247968673706,neutral
all_recordings\support_converted_Audio Trimmer1.mp3,0.838129460811615,negative
all_recordings\support_converted_Audio Trimmer2.mp3,0.6226493716239929,negative
all_recordings\support_converted_Audio Trimmer3.mp3,0.7190209627151489,negative
all_recordings\support_converted_Audio Trimmer4.mp3,0.5797412395477295,negative
all_recordings\support_converted_Audio Trimmer5.mp3,0.723520040512085,negative
